tender_id,feature,label,text,contribution,value,direction
T00000,days_reg_to_first_award,"Registered, then paid, almost at once",Only -136 days between this vendor appearing in the master file and its first award.,0.4059393107891083,-136.0,up
T00000,vendor_age_days,A brand-new supplier,This vendor was registered only 195 days before winning this. Legitimate suppliers build a track record first.,0.20837464928627014,195.0,up
T00000,g_jaccard_mean,"The same names, tender after tender",These firms turn up on the same tenders far more than rivals should (12% overlap against a normal 8%).,0.09530173242092133,0.12431637954607601,up
T00000,bid_cv,The bids were suspiciously alike,The spread across bids is unusually tight (0.07 against a normal 0.08). Independent firms pricing independently do not land this close together.,0.027456313371658325,0.0701639992456881,up
T00001,days_reg_to_first_award,"Registered, then paid, almost at once",Only -114 days between this vendor appearing in the master file and its first award.,0.2217627763748169,-114.0,up
T00001,vendor_age_days,A brand-new supplier,This vendor was registered only -24 days before winning this. Legitimate suppliers build a track record first.,0.20960351824760437,-24.0,up
T00002,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.09638302028179169,2.0,up
T00003,amount_over_limit,Sitting under the ceiling,"The award is 86% of the approver's limit — just under the ceiling, where a splitter would put it.",0.3532392084598541,0.8640660000000001,up
T00003,headroom_to_limit,Barely under the limit,It clears the approval limit by only 14%. A little more and a director would have had to sign.,0.16249306499958038,0.13593399999999994,up
T00003,n_bidders,Thin competition,Only 1 company bid. Nobody else was asked.,0.10858350992202759,1.0,up
T00004,is_round,A suspiciously round number,"The amount is a round figure. Real invoices come from quantities times prices, and they come out messy. Invented ones come out round.",0.07007735222578049,1.0,up
T00005,days_to_payment,Paid unusually fast,Paid 12 days after invoice. The company normally takes 34.,0.10817183554172516,12.0,up
T00008,days_to_payment,Paid unusually fast,Paid 16 days after invoice. The company normally takes 34.,0.18265029788017273,16.0,up
T00008,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.12712475657463074,2.0,up
T00008,pair_n_tenders,This pair keeps trading,This buyer has awarded this vendor 2 tenders. The usual buyer-vendor pair has done 1.,0.09633204340934753,2.0,up
T00008,g_cobid_min_affinity,Every pair of bidders is tied to every other,"Not one loose pair — every bidder here co-bids with every other at 0.11 or more. That is a closed group, not a market.",0.058530304580926895,0.11428571428571428,up
T00009,days_to_payment,Paid unusually fast,Paid 11 days after invoice. The company normally takes 34.,0.2449076920747757,11.0,up
T00010,vendor_age_days,A brand-new supplier,This vendor was registered only 199 days before winning this. Legitimate suppliers build a track record first.,0.2192198634147644,199.0,up
T00010,g_cobid_mean_affinity,These firms always bid together,The bidders here meet each other far more often than chance allows (affinity 0.22; honest rivals sit near 0.16).,0.15503942966461182,0.2228203464759625,up
T00010,g_jaccard_mean,"The same names, tender after tender",These firms turn up on the same tenders far more than rivals should (11% overlap against a normal 8%).,0.015711678192019463,0.1129302185191566,up
T00011,days_to_payment,Paid unusually fast,Paid 21 days after invoice. The company normally takes 34.,0.22586804628372192,21.0,up
T00011,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.17138579487800598,2.0,up
T00013,pair_n_tenders,This pair keeps trading,This buyer has awarded this vendor 2 tenders. The usual buyer-vendor pair has done 1.,0.0654093474149704,2.0,up
T00014,days_reg_to_first_award,"Registered, then paid, almost at once",Only -53 days between this vendor appearing in the master file and its first award.,0.5636406540870667,-53.0,up
T00014,n_bidders,Thin competition,Only 1 company bid. Nobody else was asked.,0.03833077847957611,1.0,up
T00015,amount_vs_cat_median,Expensive for what it is,It cost 2.0x the median price in its category.,0.11371908336877823,2.0151235624431836,up
T00016,n_rules_triggered,Several rules fired at once,2 separate audit rules flagged this tender independently. Any one of them alone is common. 2 together is not.,2.9456162452697754,2.0,up
T00016,rule_round_near_threshold,Round-number rule fired,"An audit rule written by a human, not a model, flagged this.",1.8336167335510254,1.0,up
T00016,pair_n_tenders,This pair keeps trading,This buyer has awarded this vendor 2 tenders. The usual buyer-vendor pair has done 1.,0.44155657291412354,2.0,up
T00016,amount_over_limit,Sitting under the ceiling,"The award is 92% of the approver's limit — just under the ceiling, where a splitter would put it.",0.3257153034210205,0.92,up
T00016,days_reg_to_first_award,"Registered, then paid, almost at once",Only -136 days between this vendor appearing in the master file and its first award.,0.11118905246257782,-136.0,up
T00018,vendor_age_days,A brand-new supplier,This vendor was registered only 223 days before winning this. Legitimate suppliers build a track record first.,0.3371773362159729,223.0,up
T00018,days_to_payment,Paid unusually fast,Paid 13 days after invoice. The company normally takes 34.,0.0774904191493988,13.0,up
T00019,vendor_age_days,A brand-new supplier,This vendor was registered only 164 days before winning this. Legitimate suppliers build a track record first.,0.3886512219905853,164.0,up
T00019,days_reg_to_first_award,"Registered, then paid, almost at once",Only 66 days between this vendor appearing in the master file and its first award.,0.17077438533306122,66.0,up
T00019,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.05302927643060684,2.0,up
T00021,buyer_exclusivity,Vendor depends on one buyer,This vendor takes 15% of all its work from this one buyer. A typical vendor gets 10%.,0.16352048516273499,0.15384615384615385,up
T00021,amount_vs_cat_median,Expensive for what it is,It cost 2.2x the median price in its category.,0.07473725080490112,2.1568115273418105,up
T00022,buyer_exclusivity,Vendor depends on one buyer,This vendor takes 33% of all its work from this one buyer. A typical vendor gets 10%.,0.0746150016784668,0.3333333333333333,up
T00023,days_to_payment,Paid unusually fast,Paid 24 days after invoice. The company normally takes 34.,0.10779112577438354,24.0,up
T00023,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.10241755843162537,2.0,up
T00024,days_to_payment,Paid unusually fast,Paid 10 days after invoice. The company normally takes 34.,0.48081690073013306,10.0,up
T00025,g_identity_component_size,Part of a tangle of shared identities,"This vendor sits in a cluster of 2 entities all sharing bank accounts, addresses or phone numbers.",0.21544606983661652,2.0,up
T00025,buyer_exclusivity,Vendor depends on one buyer,This vendor takes 20% of all its work from this one buyer. A typical vendor gets 10%.,0.07297201454639435,0.2,up
T00026,bid_cv,The bids were suspiciously alike,The spread across bids is unusually tight (0.07 against a normal 0.08). Independent firms pricing independently do not land this close together.,0.01479388028383255,0.06681237401400644,up
T00027,buyer_exclusivity,Vendor depends on one buyer,This vendor takes 20% of all its work from this one buyer. A typical vendor gets 10%.,0.051432352513074875,0.2,up
T00027,days_to_payment,Paid unusually fast,Paid 16 days after invoice. The company normally takes 34.,0.01748622953891754,16.0,up
T00028,amount_vs_cat_median,Expensive for what it is,It cost 2.3x the median price in its category.,0.11800412088632584,2.2748548578625774,up
T00028,days_to_payment,Paid unusually fast,Paid 16 days after invoice. The company normally takes 34.,0.0957408919930458,16.0,up
T00029,amount_vs_cat_median,Expensive for what it is,It cost 1.9x the median price in its category.,0.08044297993183136,1.904273961547268,up
T00029,is_round,A suspiciously round number,"The amount is a round figure. Real invoices come from quantities times prices, and they come out messy. Invented ones come out round.",0.07007735222578049,1.0,up
T00031,days_to_payment,Paid unusually fast,Paid 19 days after invoice. The company normally takes 34.,0.2556851804256439,19.0,up
T00031,days_reg_to_first_award,"Registered, then paid, almost at once",Only -18 days between this vendor appearing in the master file and its first award.,0.2217627763748169,-18.0,up
T00032,g_cobid_mean_affinity,These firms always bid together,The bidders here meet each other far more often than chance allows (affinity 0.23; honest rivals sit near 0.16).,0.06434685736894608,0.22633895818048422,up
T00033,amount_vs_cat_median,Expensive for what it is,It cost 2.2x the median price in its category.,0.2416769564151764,2.21855918946999,up
T00035,buyer_exclusivity,Vendor depends on one buyer,This vendor takes 15% of all its work from this one buyer. A typical vendor gets 10%.,0.03838563710451126,0.15384615384615385,up
T00037,g_cobid_mean_affinity,These firms always bid together,The bidders here meet each other far more often than chance allows (affinity 0.27; honest rivals sit near 0.16).,0.3003996014595032,0.26773049645390073,up
T00037,amount_vs_cat_median,Expensive for what it is,It cost 3.7x the median price in its category.,0.08239570260047913,3.7381406710282157,up
T00038,days_to_payment,Paid unusually fast,Paid 11 days after invoice. The company normally takes 34.,0.01852310821413994,11.0,up
T00039,g_cobid_min_affinity,Every pair of bidders is tied to every other,"Not one loose pair — every bidder here co-bids with every other at 0.17 or more. That is a closed group, not a market.",0.12068918347358704,0.175,up
T00039,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.0961470752954483,2.0,up
T00039,pair_n_tenders,This pair keeps trading,This buyer has awarded this vendor 2 tenders. The usual buyer-vendor pair has done 1.,0.033326156437397,2.0,up
T00040,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.0631292387843132,2.0,up
T00042,n_bidders,Thin competition,Just 2 companies bid. The usual tender draws 3.,0.12908005714416504,2.0,up
T00042,amount_vs_cat_median,Expensive for what it is,It cost 3.1x the median price in its category.,0.03609604761004448,3.085272939115551,up
T00044,days_to_payment,Paid unusually fast,Paid 10 days after invoice. The company normally takes 34.,0.8126585483551025,10.0,up
T00044,g_cobid_min_affinity,Every pair of bidders is tied to every other,"Not one loose pair — every bidder here co-bids with every other at 0.19 or more. That is a closed group, not a market.",0.12941594421863556,0.1935483870967742,up
T00046,n_bidders,Thin competition,Only 1 company bid. Nobody else was asked.,0.14827893674373627,1.0,up
T00046,days_to_payment,Paid unusually fast,Paid 17 days after invoice. The company normally takes 34.,0.12575948238372803,17.0,up
T00046,amount_vs_cat_median,Expensive for what it is,It cost 4.1x the median price in its category.,0.0414387471973896,4.115148942412193,up
T00047,amount_vs_cat_median,Expensive for what it is,It cost 3.0x the median price in its category.,0.0821719616651535,3.0004090114816266,up
T00047,bid_cv,The bids were suspiciously alike,The spread across bids is unusually tight (0.07 against a normal 0.08). Independent firms pricing independently do not land this close together.,0.017193809151649475,0.0692176027003613,up
T00049,days_to_payment,Paid unusually fast,Paid 23 days after invoice. The company normally takes 34.,0.18265029788017273,23.0,up
T00049,pair_n_tenders,This pair keeps trading,This buyer has awarded this vendor 2 tenders. The usual buyer-vendor pair has done 1.,0.06458071619272232,2.0,up
T00051,n_bidders,Thin competition,Only 1 company bid. Nobody else was asked.,0.15048983693122864,1.0,up
